a	AA	ɑ	balm, bot
@	AE	æ	bat
A	AH	ʌ	butt
c	AO	ɔ	story
W	AW	aʊ	bout
x	AX	ə	comma
N/A	AXR	ɚ	letter
Y	AY	aɪ	bite
E	EH	ɛ	bet
R	ER	ɝ	bird
e	EY	eɪ	bait
I	IH	ɪ	bit
X	IX	ɨ	roses, rabbit
i	IY	i	beat
o	OW	oʊ	boat
O	OY	ɔɪ	boy
U	UH	ʊ	book
u	UW	u	boot
N/A	UX	ʉ	dude
b	B	b	buy
C	CH	tʃ	China
d	D	d	die
D	DH	ð	thy
F	DX	ɾ	butter
L	EL	l̩	bottle
M	EM	m̩	rhythm
N	EN	n̩	button
f	F	f	fight
g	G	ɡ	guy
h	HH or H	h	high
J	JH	dʒ	jive
k	K	k	kite
l	L	l	lie
m	M	m	my
n	N	n	nigh
G	NG	ŋ	sing
N/A	NX	ɾ̃	winner
p	P	p	pie
Q	Q	ʔ	uh-oh
r	R	ɹ	rye
s	S	s	sigh
S	SH	ʃ	shy
t	T	t	tie
T	TH	θ	thigh
v	V	v	vie
w	W	w	wise
H	WH	ʍ	why
y	Y	j	yacht
z	Z	z	zoo
Z	ZH	ʒ	pleasure
